Index | Similarity
  318 | 0.99995
  319 | 0.99977
  320 | 0.99988
  321 | 0.99989
  322 | 0.99990
  323 | 0.99981
  324 | 0.99980
  325 | 0.99980
  326 | 0.99989
  327 | 0.99677
  328 | 0.99752
  329 | 0.99997
  330 | 0.99988
  331 | 0.99951
  332 | 0.99982
  333 | 0.99993
  334 | 0.99992
  335 | 0.99993
  336 | 0.99990
  337 | 0.99994
  338 | 0.99991
  339 | 0.99992
  340 | 0.99993
  341 | 0.99992
  342 | 0.99995
  343 | 0.99983
  344 | 0.99983
  345 | 0.99998
  346 | 0.99997
  347 | 0.99997
  348 | 0.99950
  349 | 0.99986
  350 | 0.99987
  351 | 0.99987
  352 | 0.99997
  353 | 0.99997
  354 | 0.99997
  355 | 0.99994
  356 | 0.99996
  357 | 0.99997
  358 | 0.99993
  359 | 0.99994
  360 | 0.99993
  361 | 0.99980
  362 | 0.99980
  363 | 0.99997
  364 | 0.99996
  365 | 0.99995
  366 | 0.99996
  367 | 0.99995
  368 | 0.99994
  369 | 0.99998
  370 | 0.99997
  371 | 0.99998
  372 | 0.99993
  373 | 0.99998
  374 | 0.99997
  375 | 0.99997
  376 | 0.99984
  377 | 0.99988
  378 | 0.99989
  379 | 0.99982
  380 | 0.99996
  381 | 0.99998
  382 | 0.99995
  383 | 0.99997
  384 | 0.99995
  385 | 0.99995
  386 | 0.99997
  387 | 0.99991
  388 | 0.99987
  389 | 0.99986
  390 | 0.99996
  391 | 0.99996
  392 | 0.99986
  393 | 0.99997
  394 | 0.99994
  395 | 0.99993
  396 | 0.99999
  397 | 0.99997
  398 | 0.99997
  399 | 0.99999
  400 | 0.99993
  401 | 0.99995
  402 | 0.99997
  403 | 0.99991
  404 | 0.99996
  405 | 0.99995
  406 | 0.99995
  407 | 0.99998
  408 | 0.99994
  409 | 0.99990
  410 | 0.99990
  411 | 0.99998
  412 | 0.99996
  413 | 0.99993
  414 | 0.99996
  415 | 0.99995
  416 | 0.99993
  417 | 0.99994
  418 | 0.99989
  419 | 0.99991
  420 | 0.99996
  421 | 0.99996
  422 | 0.99997
  423 | 0.99998
  424 | 0.99996
  425 | 0.99995
  426 | 0.99991
  427 | 0.99972
  428 | 0.99973
  429 | 0.99992
  430 | 0.99983
  431 | 0.99992
  432 | 0.99983
  433 | 0.99991
  434 | 0.99990
  435 | 0.99990
  436 | 0.99993
  437 | 0.99997
  438 | 0.99993
  439 | 0.99998
  440 | 0.99988
  441 | 0.99990
  442 | 0.99996
  443 | 0.99994
  444 | 0.99996
  445 | 0.99996
  446 | 0.99998
  447 | 0.99997
  448 | 0.99990
  449 | 0.99998
  450 | 0.99993
  451 | 0.99994
  452 | 0.99988
  453 | 0.99992
  454 | 0.99982
  455 | 0.99981
  456 | 0.99994
  457 | 0.99996
  458 | 0.99994
  459 | 0.99996
  460 | 0.99995
  461 | 0.99996
  462 | 0.99994
  463 | 0.99997
  464 | 0.99998
  465 | 0.99995
  466 | 0.99996
  467 | 0.99997
  468 | 0.99997
  469 | 0.99995
  470 | 0.99995
